functions                                         uri                                                                                                       times
_LinkedHashMapMixin._set                          third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:527:7                                  3
_LinkedHashMapMixin._set                          third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:524:12                                 1
_LinkedHashMapMixin._set                          third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:524:12                                 1
_LinkedHashMapMixin._set                          third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:522:9                                  3
_OperatorEqualsAndHashCode._hashCode              third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:254:33                                 1
_OperatorEqualsAndHashCode._hashCode              third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:254:33                                 1
_OperatorEqualsAndHashCode._hashCode              third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:254:33                                 1
_LinkedHashMapMixin._set                          third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:522:9                                  1
_OperatorEqualsAndHashCode._equals                third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:255:46                                 1
_OperatorEqualsAndHashCode._equals                third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:255:46                                 1
_OperatorEqualsAndHashCode._equals                third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:255:46                                 1
_OperatorEqualsAndHashCode._equals                third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:255:46                                 1
_OperatorEqualsAndHashCode._equals                third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:255:46                                 1
_OperatorEqualsAndHashCode._equals                third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:255:46                                 1
_OperatorEqualsAndHashCode._equals                third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:255:46                                 2
_OperatorEqualsAndHashCode._equals                third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:255:46                                 2
_LinkedHashMapMixin._findValueOrInsertPoint       third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:486:3                                  1
String.==                                         third_party/dart/sdk/lib/_internal/vm/lib/string_patch.dart:1027:18                                       4
_OperatorEqualsAndHashCode._equals                third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:255:46                                 1
_OperatorEqualsAndHashCode._equals                third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:255:46                                 1
_LinkedHashMapMixin._set                          third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:522:9                                  1
_OperatorEqualsAndHashCode._equals                third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:255:46                                 2
_OperatorEqualsAndHashCode._equals                third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:255:46                                 2
_OperatorEqualsAndHashCode._equals                third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:255:46                                 4
_OperatorEqualsAndHashCode._equals                third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:255:46                                 4
jsonEncode                                        third_party/dart/sdk/lib/convert/json.dart:114:10                                                         1
jsonEncode                                        third_party/dart/sdk/lib/convert/json.dart:114:10                                                         1
_OperatorEqualsAndHashCode._equals                third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:255:46                                 3
_OperatorEqualsAndHashCode._equals                third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:255:46                                 3
String.==                                         third_party/dart/sdk/lib/_internal/vm/lib/string_patch.dart:1027:18                                       2
_LinkedHashMapMixin._set                          third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:527:7                                  2
_OperatorEqualsAndHashCode._equals                third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:255:46                                 2
_OperatorEqualsAndHashCode._equals                third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:255:46                                 2
_LinkedHashMapMixin._set                          third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:524:12                                 4
_LinkedHashMapMixin._set                          third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:522:9                                  2
_LinkedHashMapMixin._set                          third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:524:12                                 3
_LinkedHashMapMixin._set                          third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:524:12                                 2
_OperatorEqualsAndHashCode._equals                third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:255:46                                 2
_OperatorEqualsAndHashCode._equals                third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:255:46                                 2
_OperatorEqualsAndHashCode._equals                third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:255:46                                 3
_OperatorEqualsAndHashCode._equals                third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:255:46                                 3
_LinkedHashMapMixin._set                          third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:527:7                                  1
String.hashCode                                   third_party/dart/sdk/lib/_internal/vm/lib/string_patch.dart:0:0                                           1
_OperatorEqualsAndHashCode._equals                third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:255:46                                 1
_OperatorEqualsAndHashCode._equals                third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:255:46                                 1
_LinkedHashMapMixin._set                          third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:524:12                                 29
_OperatorEqualsAndHashCode._equals                third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:255:46                                 1
_OperatorEqualsAndHashCode._equals                third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:255:46                                 1
_LinkedHashMapMixin._set                          third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:527:7                                  1
_LinkedHashMapMixin._set                          third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:527:7                                  1
String.hashCode                                   third_party/dart/sdk/lib/_internal/vm/lib/string_patch.dart:0:0                                           1
??                                                ??:0:0                                                                                                    62
stub InvokeDartCode                               ??:0:0                                                                                                    62
_drawFrame                                        lib/ui/hooks.dart:281:1                                                                                   62
