functions                                                uri                                                                                            times  
RenderObject.layer=                                      /Users/littlegnal/dev/flutter/packages/flutter/lib/src/rendering/object.dart:2814:18           1      
RenderObject.layer=                                      /Users/littlegnal/dev/flutter/packages/flutter/lib/src/rendering/object.dart:2814:18           1      
PaintingContext.pushClipPath                             /Users/littlegnal/dev/flutter/packages/flutter/lib/src/rendering/object.dart:618:38            1      
RenderCustomPaint.paint                                  /Users/littlegnal/dev/flutter/packages/flutter/lib/src/rendering/custom_paint.dart:627:3       1      
RenderCustomPaint._paintWithPainter                      /Users/littlegnal/dev/flutter/packages/flutter/lib/src/rendering/custom_paint.dart:585:16      1      
??                                                       ??:0:0                                                                                         1      
RenderStack.paint                                        /Users/littlegnal/dev/flutter/packages/flutter/lib/src/rendering/stack.dart:657:3              2      
RenderBoxContainerDefaultsMixin.defaultPaint             /Users/littlegnal/dev/flutter/packages/flutter/lib/src/rendering/box.dart:3155:3               2      
RenderObject.layer=                                      /Users/littlegnal/dev/flutter/packages/flutter/lib/src/rendering/object.dart:2814:18           2      
RenderObject.layer=                                      /Users/littlegnal/dev/flutter/packages/flutter/lib/src/rendering/object.dart:2814:18           2      
RenderObject.layer=                                      /Users/littlegnal/dev/flutter/packages/flutter/lib/src/rendering/object.dart:2814:18           2      
RenderObject.layer=                                      /Users/littlegnal/dev/flutter/packages/flutter/lib/src/rendering/object.dart:2814:18           2      
PaintingContext.pushTransform                            /Users/littlegnal/dev/flutter/packages/flutter/lib/src/rendering/object.dart:689:7             2      
RenderOffstage.paint                                     /Users/littlegnal/dev/flutter/packages/flutter/lib/src/rendering/proxy_box.dart:3743:3         2      
RenderPhysicalShape.paint                                /Users/littlegnal/dev/flutter/packages/flutter/lib/src/rendering/proxy_box.dart:2139:35        1      
_NativePath.shift                                        lib/ui/painting.dart:3094:3                                                                    1      
_NativePath.__shift$Method$FfiNative                     lib/ui/painting.dart:0:0                                                                       1      
??                                                       ??:0:0                                                                                         1      
ClipContext._clipAndPaint                                /Users/littlegnal/dev/flutter/packages/flutter/lib/src/painting/clip.dart:27:7                 1      
PaintingContext.pushClipRect.<anonymous closure>         /Users/littlegnal/dev/flutter/packages/flutter/lib/src/rendering/object.dart:550:70            1      
RenderParagraph.paint                                    /Users/littlegnal/dev/flutter/packages/flutter/lib/src/rendering/paragraph.dart:888:36         1      
RenderParagraph._layoutTextWithConstraints               /Users/littlegnal/dev/flutter/packages/flutter/lib/src/rendering/paragraph.dart:766:3          1      
TextPainter.layout                                       /Users/littlegnal/dev/flutter/packages/flutter/lib/src/painting/text_painter.dart:1180:41      1      
_TextPainterLayoutCacheWithOffset._resizeToFit           /Users/littlegnal/dev/flutter/packages/flutter/lib/src/painting/text_painter.dart:437:3        1      
stub _iso_stub_AllocateObjectParameterizedStub           third_party/dart/sdk/lib/_internal/vm/lib/double.dart:0:0                                      1      
RenderShiftedBox.paint                                   /Users/littlegnal/dev/flutter/packages/flutter/lib/src/rendering/shifted_box.dart:71:3         8      
RenderClipRect.paint                                     /Users/littlegnal/dev/flutter/packages/flutter/lib/src/rendering/proxy_box.dart:1546:9         2      
PaintingContext.pushClipRect                             /Users/littlegnal/dev/flutter/packages/flutter/lib/src/rendering/object.dart:536:3             2      
ClipContext.clipRectAndPaint                             /Users/littlegnal/dev/flutter/packages/flutter/lib/src/painting/clip.dart:52:3                 2      
ClipContext._clipAndPaint                                /Users/littlegnal/dev/flutter/packages/flutter/lib/src/painting/clip.dart:0:0                  1      
??                                                       ??:0:0                                                                                         5      
