functions                                            uri                                                                                           times  
RenderView.compositeFrame                            /Users/littlegnal/dev/flutter/packages/flutter/lib/src/rendering/view.dart:0:0                1      
FlutterView._render                                  lib/ui/window.dart:0:0                                                                        1      
FlutterView._render                                  lib/ui/window.dart:0:0                                                                        1      
FlutterView.__render$Method$FfiNative                lib/ui/window.dart:0:0                                                                        1      
??                                                   ??:0:0                                                                                        1      
??                                                   ??:0:0                                                                                        2      
WidgetsBinding.drawFrame                             /Users/littlegnal/dev/flutter/packages/flutter/lib/src/widgets/binding.dart:0:0               2      
RendererBinding.drawFrame                            /Users/littlegnal/dev/flutter/packages/flutter/lib/src/rendering/binding.dart:0:0             2      
RenderView.compositeFrame                            /Users/littlegnal/dev/flutter/packages/flutter/lib/src/rendering/view.dart:350:9              1      
ContainerLayer.buildScene                            /Users/littlegnal/dev/flutter/packages/flutter/lib/src/rendering/layer.dart:0:0               1      
TransformLayer.addToScene                            /Users/littlegnal/dev/flutter/packages/flutter/lib/src/rendering/layer.dart:1964:13           1      
OffsetLayer.addToScene                               /Users/littlegnal/dev/flutter/packages/flutter/lib/src/rendering/layer.dart:1480:13           2      
Layer._addToSceneWithRetainedRendering               /Users/littlegnal/dev/flutter/packages/flutter/lib/src/rendering/layer.dart:0:0               3      
Layer._addToSceneWithRetainedRendering               /Users/littlegnal/dev/flutter/packages/flutter/lib/src/rendering/layer.dart:0:0               3      
PictureLayer.addToScene                              /Users/littlegnal/dev/flutter/packages/flutter/lib/src/rendering/layer.dart:0:0               1      
_NativeSceneBuilder._addPicture                      lib/ui/compositing.dart:0:0                                                                   1      
_NativeSceneBuilder._addPicture                      lib/ui/compositing.dart:0:0                                                                   1      
_NativeSceneBuilder.__addPicture$Method$FfiNative    lib/ui/compositing.dart:0:0                                                                   1      
??                                                   ??:0:0                                                                                        1      
??                                                   ??:0:0                                                                                        38     
_drawFrame                                           lib/ui/hooks.dart:281:1                                                                       3      
_drawFrame                                           lib/ui/hooks.dart:0:0                                                                         3      
PlatformDispatcher._drawFrame                        lib/ui/platform_dispatcher.dart:0:0                                                           3      
_invoke                                              lib/ui/hooks.dart:0:0                                                                         3      
SchedulerBinding._handleDrawFrame                    /Users/littlegnal/dev/flutter/packages/flutter/lib/src/scheduler/binding.dart:1153:3          3      
